LOCATION,SUBJECT,MEASURE,TIME,Value,Flag Codes,Country_Name
AUS,TOT,PC_GDP,1971,4.54,,Australia
AUS,TOT,PC_GDP,1972,4.539,,Australia
AUS,TOT,PC_GDP,1973,4.504,,Australia
AUS,TOT,PC_GDP,1974,5.104,,Australia
AUS,TOT,PC_GDP,1975,5.75,,Australia
AUS,TOT,PC_GDP,1976,5.767,,Australia
AUS,TOT,PC_GDP,1977,6.066,,Australia
AUS,TOT,PC_GDP,1978,5.928,,Australia
AUS,TOT,PC_GDP,1979,5.818,,Australia
AUS,TOT,PC_GDP,1980,5.82,,Australia
AUS,TOT,PC_GDP,1981,5.829,,Australia
AUS,TOT,PC_GDP,1982,6.095,,Australia
AUS,TOT,PC_GDP,1983,6.041,,Australia
AUS,TOT,PC_GDP,1984,6.012,,Australia
AUS,TOT,PC_GDP,1985,6.064,,Australia
AUS,TOT,PC_GDP,1986,6.263,,Australia
AUS,TOT,PC_GDP,1987,6.101,,Australia
AUS,TOT,PC_GDP,1988,6.057,,Australia
AUS,TOT,PC_GDP,1989,6.109,,Australia
AUS,TOT,PC_GDP,1990,6.468,,Australia
AUS,TOT,PC_GDP,1991,6.764,,Australia
AUS,TOT,PC_GDP,1992,6.828,,Australia
AUS,TOT,PC_GDP,1993,6.844,,Australia
AUS,TOT,PC_GDP,1994,6.876,,Australia
AUS,TOT,PC_GDP,1995,6.921,,Australia
AUS,TOT,PC_GDP,1996,7.062,,Australia
AUS,TOT,PC_GDP,1997,7.079,,Australia
AUS,TOT,PC_GDP,1998,7.235,D,Australia
AUS,TOT,PC_GDP,1999,7.324,D,Australia
AUS,TOT,PC_GDP,2000,7.6,D,Australia
AUS,TOT,PC_GDP,2001,7.683,D,Australia
AUS,TOT,PC_GDP,2002,7.878,D,Australia
AUS,TOT,PC_GDP,2003,7.883,D,Australia
AUS,TOT,PC_GDP,2004,8.09,D,Australia
AUS,TOT,PC_GDP,2005,7.974,D,Australia
AUS,TOT,PC_GDP,2006,7.981,D,Australia
AUS,TOT,PC_GDP,2007,8.059,D,Australia
AUS,TOT,PC_GDP,2008,8.254,D,Australia
AUS,TOT,PC_GDP,2009,8.552,D,Australia
AUS,TOT,PC_GDP,2010,8.423,D,Australia
AUS,TOT,PC_GDP,2011,8.54,D,Australia
AUS,TOT,PC_GDP,2012,8.675,D,Australia
AUS,TOT,PC_GDP,2013,8.751,D,Australia
AUS,TOT,PC_GDP,2014,9.848,B,Australia
AUS,TOT,PC_GDP,2015,10.184,,Australia
AUS,TOT,PC_GDP,2016,10.09,,Australia
AUS,TOT,PC_GDP,2017,10.126,,Australia
AUS,TOT,PC_GDP,2018,10.074,,Australia
AUS,TOT,PC_GDP,2019,10.23,,Australia
AUS,TOT,PC_GDP,2020,10.646,E,Australia
AUS,OOPEXP,USD_CAP,1971,38.037,,Australia
AUS,OOPEXP,USD_CAP,1972,41.059,,Australia
AUS,OOPEXP,USD_CAP,1973,45.526,,Australia
AUS,OOPEXP,USD_CAP,1974,63.488,,Australia
AUS,OOPEXP,USD_CAP,1975,60.056,,Australia
AUS,OOPEXP,USD_CAP,1976,63.87,,Australia
AUS,OOPEXP,USD_CAP,1977,63.62,,Australia
AUS,OOPEXP,USD_CAP,1978,76.512,,Australia
AUS,OOPEXP,USD_CAP,1979,83.377,,Australia
AUS,OOPEXP,USD_CAP,1980,95.436,,Australia
AUS,OOPEXP,USD_CAP,1981,99.493,,Australia
AUS,OOPEXP,USD_CAP,1982,95.801,,Australia
AUS,OOPEXP,USD_CAP,1983,112.773,,Australia
AUS,OOPEXP,USD_CAP,1984,114.322,,Australia
AUS,OOPEXP,USD_CAP,1985,125.549,,Australia
